ts_code,trade_date,close,pct_chg,score,volume_ratio,structure,ma10,ma20,macd_dif,macd_dea,rsi6,boll_mid,turnover,avg_turnover_5,atr_ratio,price_vs_ma20,tier,ma5,kdj_k,kdj_d,wr1,wr2,regime,entry_price,ret_1,ret_3,ret_5
159766.SZ,20220311.000000,0.970000,1.252600,3,,,1.006300,1.038400,,,33.303216,,145619.174000,120878.539000,0.037040,-0.065871,C,0.967800,29.305525,,65.217391,64.779874,bear,0.970000,-0.062887,-0.018557,0.022680
159892.SZ,20220316.000000,0.532000,9.917400,4,,,0.578800,0.630500,,,34.313739,,49837.606000,34381.520200,0.056391,-0.156225,C,0.541800,14.342742,,74.619289,58.333333,bear,0.532000,0.099624,0.140977,0.193609
513150.SH,20220316.000000,0.723000,10.045700,4,,,0.778900,0.859750,,,34.465036,,16059.206000,12870.449200,0.061450,-0.159058,C,0.732800,14.268797,,73.600000,66.326530,bear,0.723000,0.099585,0.107884,0.183956
513690.SH,20220316.000000,0.759457,5.383600,4,,,0.800485,0.839379,,,33.862953,,83358.831000,53480.420600,0.036855,-0.095216,C,0.772260,17.378966,,67.567398,58.260565,bear,0.759457,0.099617,0.095786,0.134100
562500.SH,20220316.000000,0.750000,2.739700,4,,,0.790000,0.829500,,,29.128776,,3995.092000,2434.298000,0.037714,-0.095841,C,0.766800,20.901303,,75.641025,63.809523,bear,0.750000,0.028000,0.026667,0.038667
562500.SH,20220412.000000,0.695000,1.312000,4,,,0.734500,0.748500,,,24.382163,,2531.809000,1560.477000,0.024358,-0.071476,C,0.717400,14.524726,,82.499999,82.278480,bear,0.695000,0.001439,-0.011511,-0.005755
159796.SZ,20220418.000000,0.869000,1.046500,4,,,0.909300,0.957700,,,22.881949,,3196.120000,2345.196600,0.049729,-0.092618,C,0.872400,15.405099,,79.255319,64.545454,bear,0.869000,-0.006904,-0.087457,-0.158803
159751.SZ,20220422.000000,0.684000,1.483700,4,,,0.706600,0.726450,,,34.046552,,7427.182000,5821.349000,0.035192,-0.058435,C,0.697000,23.497792,,71.052631,65.079364,bear,0.684000,-0.049708,0.000000,0.086257
513020.SH,20220422.000000,0.736000,1.377400,3,,,0.759000,0.780600,,,33.795076,,28317.303000,20353.042200,0.040082,-0.057136,C,0.748600,31.566620,,61.176470,54.794520,bear,0.736000,-0.039402,0.008152,0.099185
513150.SH,20220422.000000,0.757000,1.203200,4,,,0.781000,0.804950,,,32.488704,,16109.786000,9407.042600,0.042083,-0.059569,C,0.770000,15.117528,,81.739130,67.692307,bear,0.757000,-0.042272,-0.007926,0.088507
513860.SH,20220422.000000,0.470000,1.293100,4,,,0.484700,0.500250,,,32.194085,,18519.455000,9248.366000,0.033587,-0.060470,C,0.478000,24.163840,,64.912280,58.333332,bear,0.470000,-0.042553,-0.004255,0.100000
513980.SH,20220422.000000,0.470000,1.293100,4,,,0.483800,0.499200,,,33.221254,,58139.113000,41931.977800,0.034802,-0.058494,C,0.477200,23.844349,,69.230768,60.975608,bear,0.470000,-0.044681,0.008511,0.112766
513360.SH,20220427.000000,0.297000,1.365200,4,,,0.316100,0.332700,,,21.336795,,99858.819000,72269.162000,0.035113,-0.107304,C,0.302200,11.916773,,76.785713,71.739129,bear,0.297000,-0.003367,0.084175,0.067340
516860.SH,20220427.000000,0.732000,5.021500,4,,,0.801900,0.866200,,,26.006777,,9801.056000,7626.135400,0.046643,-0.154930,C,0.747800,10.007262,,76.732673,75.132275,bear,0.732000,-0.024590,0.034153,0.030055
562500.SH,20220427.000000,0.626000,5.210100,4,,,0.660200,0.694850,,,33.696357,,4155.742000,2599.677400,0.044843,-0.099086,C,0.628000,18.832062,,66.666666,62.385321,bear,0.626000,0.006390,0.047923,0.027157
513130.SH,20220511.000000,0.516000,2.788800,3,,,0.511600,0.510750,,,51.634304,,676467.284000,446385.009200,0.044435,0.010279,C,0.515600,44.267289,49.284407,51.685393,58.974358,sideways,0.516000,-0.027132,0.013566,0.058140
